ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-383N|refseq:NP_001094|uniprotkb:P35609	DIP-674N|refseq:NP_058706|uniprotkb:P35439	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9009191|pubmed:DIP-290S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-30E	dip-quality-status:core	dip:0002(small scale)		-
DIP-403N|refseq:NP_000796|uniprotkb:P01350	DIP-664N|refseq:NP_037101|uniprotkb:P35570	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:8824290|pubmed:DIP-237S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-96E	dip-quality-status:core	dip:0002(small scale)		-
DIP-267N|refseq:NP_446309|uniprotkb:Q62622	DIP-22N|refseq:NP_001959|uniprotkb:P06730	 -	-	-	-	MI:0401(biochemical)|MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pubmed:7939721|pubmed:DIP-407S|pubmed:7939721|pubmed:DIP-407S|pubmed:7939721|pubmed:DIP-407S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-114E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-473N|uniprotkb:Q63755	DIP-582N|refseq:NP_000312|uniprotkb:P06400	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0401(biochemical)	-	pubmed:7538672|pubmed:DIP-191S|pubmed:7538672|pubmed:DIP-191S|pubmed:7538672|pubmed:DIP-191S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-216E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-604N|uniprotkb:P29387	DIP-164N|refseq:NP_112269|uniprotkb:P26769	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7761832|pubmed:DIP-43S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-262E	dip-quality-status:core	dip:0002(small scale)		-
DIP-138N|refseq:XP_217250|uniprotkb:P09759	DIP-259N|refseq:NP_032189|uniprotkb:Q60631	 -	-	-	-	MI:0018(two hybrid)|MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:8798570|pubmed:DIP-400S|pubmed:8798570|pubmed:DIP-400S|pubmed:8798570|pubmed:DIP-400S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-293E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-446N|refseq:NP_034475|uniprotkb:Q60760	DIP-138N|refseq:XP_217250|uniprotkb:P09759	 -	-	-	-	MI:0401(biochemical)|MI:0018(two hybrid)|MI:0045(experimental interaction detection)	-	pubmed:8798570|pubmed:DIP-400S|pubmed:8798570|pubmed:DIP-400S|pubmed:8798570|pubmed:DIP-400S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-294E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-666N	DIP-138N|refseq:XP_217250|uniprotkb:P09759	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8798570|pubmed:DIP-400S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-296E	dip-quality-status:core	dip:0002(small scale)		-
DIP-464N|refseq:NP_058785|uniprotkb:Q6P7B6	DIP-138N|refseq:XP_217250|uniprotkb:P09759	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:8798570|pubmed:DIP-400S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-297E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1031N|refseq:NP_036805|uniprotkb:P01830	DIP-118N|uniprotkb:P70304	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7915927|pubmed:DIP-125S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-310E	dip-quality-status:core	dip:0002(small scale)		-
DIP-108N|refseq:NP_446240|uniprotkb:P32851	DIP-108N|refseq:NP_446240|uniprotkb:P32851	-	-	-	-	MI:0018(two hybrid)|MI:0042(electron paramagnetic resonance)	-	pubmed:7768895|pubmed:DIP-161S|pubmed:26876096|pubmed:DIP-18011S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-418E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)		-
DIP-373N|refseq:NP_112387|uniprotkb:Q08850	DIP-373N|refseq:NP_112387|uniprotkb:Q08850	-	-	-	-	MI:0018(two hybrid)	-	pubmed:7768895|pubmed:DIP-161S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-419E	dip-quality-status:core	dip:0002(small scale)		-
